KPI Name ;Schema;MME Proposed Object Identifier
MME_Inter_MME_TAU_Reject_ue_identity_unk;MME;MME_Inter
MME_Inter_MME_TAU_Reject_with_decode_failure;MME;MME_Inter
MME_Inter_MME_TAU_Reject_with_no_bearer_active;MME;MME_Inter
MME_Inter_MME_TAU_Reject_with_plmnnotallow;MME;MME_Inter
MME_Inter_MME_TAU_Reject_with_tanotallow;MME;MME_Inter
MME_Inter_MME_TAU_Rejects_Total;MME;MME_Inter
MME_Inter_MME_TAU_reject_with_congestion;MME;MME_Inter
MME_Inter_MME_TAU_reject_with_csgnotsubscribed;MME;MME_Inter
MME_Inter_MME_TAU_reject_with_epsnonepsnotallowed;MME;MME_Inter
MME_Inter_MME_TAU_reject_with_imeinotaccept;MME;MME_Inter
MME_Inter_MME_TAU_reject_with_noepssvcplmn;MME;MME_Inter
MME_Inter_MME_TAU_reject_with_roamingrestrictta;MME;MME_Inter
MME_Inter_MME_TAU_reject_with_severenetworkfailure;MME;MME_Inter
MME_Inter_MME_Tracking_Area_Update_Success_Rate;MME;MME_Inter
MME_Intra_MME_Handover_Success_Rate;MME;MME_Intra
MME_Intra_MME_TAU_Reject_implicit_detached;MME;MME_Intra
MME_Intra_MME_TAU_Reject_imsi_unknown_hss;MME;MME_Intra
MME_Intra_MME_TAU_Reject_network_fail;MME;MME_Intra
MME_Intra_MME_TAU_Reject_no_suitable_cell_ta;MME;MME_Intra
MME_Intra_MME_TAU_Reject_ue_identity_unk;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_congestion;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_csgnotsubscribed;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_decodefailure;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_epsnonepsnotallowed;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_epsnotallowed;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_illegal_me;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_illegal_ue;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_imeinotaccept;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_nobeareractive;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_noepssvcplmn;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_roamingrestrictta;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_severenetworkfailure;MME;MME_Intra
MME_Intra_MME_TAU_reject_with_tanotallow;MME;MME_Intra
MME_Intra_MME_Tracking_Area_Update_Success_Rate;MME;MME_Intra
MME_Overall_Attach_Success_Rate;MME;MME_SR
MME_Manager_Average_CPU_Utilization;CARD;
MME_Manager_Average_Memory_Utilization;CARD;
